Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions,Price_per_Transaction,HighDemand,PriceTier,Freehold_Flag,Is_Central,Log_Median_Price,Log_Median_PSF,Area_Transaction_Intensity,State_Price_Tier,Township_Uniqueness_Index,Price_to_PSF_Ratio,Tenure_Type_Interaction,Is_Capital_City,Transaction_Volume_Flag
TAMAN DESA BERTAM,Tanjong Minyak,Melaka,Freehold,"Semi D, Cluster House",453000.0,185.0,89,5033.333333333333,1,Low,1,0,13.023649611968253,5.225746673713202,Medium,Tier 3: Low-Cost State,2,2448.6486486486488,"Freehold_Semi D, Cluster House",0,High_Volume
TAMAN REM,Kota Tinggi,Johor,Leasehold,Terrace House,246600.0,160.0,89,2740.0,1,Low,0,0,12.4155269248542,5.081404364984463,Medium,Tier 1: High-Cost State,2,1541.25,Leasehold_Terrace House,0,High_Volume
TAMAN PULAI MUTIARA 2,Skudai,Johor,Freehold,"Terrace House, Cluster House",564230.0,252.0,88,6339.662921348315,1,Medium,1,0,13.243219021095554,5.53338948872752,High,Tier 1: High-Cost State,2,2239.0079365079364,"Freehold_Terrace House, Cluster House",0,High_Volume
KOTA BAYUEMAS,Klang,Selangor,Freehold,"Terrace House, Semi D",804000.0,446.0,88,9033.707865168539,1,High,1,0,13.597355791941425,6.102558594613569,High,Tier 1: High-Cost State,2,1802.6905829596412,"Freehold_Terrace House, Semi D",0,High_Volume
TAMAN KOTA IMPIAN @ IMPIAN HILLS,Kota Tinggi,Johor,Freehold,Terrace House,713000.0,405.0,87,8102.272727272727,1,High,1,0,13.477238101919994,6.0063531596017325,Medium,Tier 1: High-Cost State,2,1760.4938271604938,Freehold_Terrace House,0,High_Volume
EKA HEIGHTS - PRECINCT 3B,Labu,Negeri Sembilan,Freehold,Terrace House,400000.0,267.0,87,4545.454545454545,1,Medium,1,0,12.899222326086994,5.5909869805108565,Medium,Tier 2: Medium-Cost State,2,1498.1273408239701,Freehold_Terrace House,0,High_Volume
BANDAR SPRINGHILL,Jimah,Negeri Sembilan,Freehold,Terrace House,220000.0,179.0,86,2528.735632183908,1,Low,1,0,12.301387370778713,5.19295685089021,Medium,Tier 2: Medium-Cost State,2,1229.0502793296089,Freehold_Terrace House,0,High_Volume
TAMAN HIJAUAN VALDOR,Sungai Bakap,Penang,Freehold,"Terrace House, Semi D",675000.0,241.0,85,7848.837209302325,1,Medium,1,0,13.42246945133505,5.488937726156687,Low,Tier 2: Medium-Cost State,2,2800.829875518672,"Freehold_Terrace House, Semi D",0,High_Volume
TAMAN SRI GOMBAK,Batu Caves,Selangor,Freehold,Terrace House,450000.0,556.0,85,5232.558139534884,1,High,1,0,13.017005083966255,6.322565239927284,Medium,Tier 1: High-Cost State,2,809.3525179856115,Freehold_Terrace House,0,High_Volume
Flora Damansara Apartment,Damansara Perdana,Selangor,Leasehold,Apartment,380000.0,447.0,85,4418.604651162791,1,High,0,0,12.847929163278053,6.104793232414985,Low,Tier 1: High-Cost State,2,850.1118568232662,Leasehold_Apartment,0,High_Volume
